Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Μπαλαντίνος Πηχτόγαλο Χανίων Π.Ο.Π.,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/pichtogalo-chanion-pop-balantinos/,
Γαλένι Τυρί Κρέμα,Milk and dairy products,Cheese,Fresh uncured cheese,"Fresh cream cheese, plain, creamy, around 8% fat",B,https://kritis.gr/product/tyri-krema-kritiko-galeni-tk/,
Μπαλαντίνος Στάκα Ανθόγαλο 200 gr,Milk and dairy products,Cream and cream products,Cream,"Thick cream 30% fat, refrigerated",C,https://kritis.gr/product/balantinos-staka-anthogalo-200-gr/,
Μπαλαντίνος Στάκα,Milk and dairy products,Cream and cream products,Cream,"Thick cream 30% fat, refrigerated",C,https://kritis.gr/product/staka-balantinou/,
Κουβαράκης Στάκα Σητείας 265 gr,Milk and dairy products,Cream and cream products,Cream,"Thick cream 30% fat, refrigerated",C,https://kritis.gr/product/staka-siteias-270gr-kouvaraki/,
Κουβαράκης Ξύγαλο Σητείας Π.Ο.Π,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/xygalo-kouvaraki/,
Σπετσωτάκης Ξύγαλο Σητείας,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/xygalo-kil-spetsotakis/,
Κουβαράκης Ξύγαλο Σητείας 270 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/xygalo-siteias-270gr-kouvarakh/,
Μπαλαντίνος Πηχτόγαλο Χανίων ΠΟΠ 200 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/balantinos-pichtogalo-200-gr/,
Μπαλαντίνος Στακοβούτυρο 300 gr,Animal and vegetable fats and oils,Animal fat,Butter oil,Butter oil or concentrated butter,B,https://kritis.gr/product/stakovoutyro-balant-vazo-300gr/,
Σελλιανό Προϊόν Γάλακτος Σε Άλμη,Milk and dairy products,Cheese,"Cheese, Feta","Feta cheese, from ewe's milk",B,https://kritis.gr/product/selliano-proion-galakt-se-almi/,
Κουβαράκης Τυρί Λευκό Άλμης,Milk and dairy products,Cheese,"Cheese, Feta","Feta cheese, from ewe's milk",B,https://kritis.gr/product/tyri-lefko-almis-kouvaraki/,
Amari Τυρί Λευκό Κατσικίσιο Σε Άλμη,Milk and dairy products,Cheese,"Cheese, Capra","Cheese, from goat's milk",C,https://kritis.gr/product/tyri-katsikisio-se-almi-amariou-chyma/,
Σελλιανό Προϊόν Γάλακτος 430 gr,Milk and dairy products,Cheese,"Cheese, Feta","Feta cheese, from ewe's milk",B,https://kritis.gr/product/selliano-proion-galak-taper-430g/,
Σελλιανό Προϊόν Γάλακτος 950 gr,Milk and dairy products,Cheese,"Cheese, Feta","Feta cheese, from ewe's milk",B,https://kritis.gr/product/selliano-proion-galak-taper-950g/,
Amari Τυρί Λευκό Κατσικίσιο Σε Άλμη 400 gr,Milk and dairy products,Cheese,"Cheese, Capra","Cheese, from goat's milk",C,https://kritis.gr/product/tyri-katsikisio-almis-amari-400g/,
Σταματογιώργης Τυρί Κατσοχοίρι Σε Μερίδες,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/stamatogiorgis-tyri-katsochoiri-se-merides/,
